Date,Reservoir,System,Capacity_(MCM),Inflow_Last_24H(MCM),Inflow_Since_01/10_(MCM),CurrentStorage(MCM),CurrentStorage(%),Storage_y-1(MCM),Storage_y-1(%),MaxStorage_y-1(MCM),MaxStorage_y-1(date)
2023-9-18,Κούρης,ΝΟΤΙΟΣ ΑΓΩΓΟΣ,115.0,0.257,10.813,55.867,48.58,91.138,79.3,94.238,15/2
2023-9-18,Καλαβασός,ΝΟΤΙΟΣ ΑΓΩΓΟΣ,17.1,0.126,4.07,5.298,30.98,8.877,51.9,9.276,26/3
2023-9-18,Λεύκαρα,ΝΟΤΙΟΣ ΑΓΩΓΟΣ,13.85,0.083,3.427,9.456,68.27,12.879,93.0,13.026,2/2
2023-9-18,Διπόταμος,ΝΟΤΙΟΣ ΑΓΩΓΟΣ,15.5,0.165,5.012,7.734,49.9,10.358,66.8,10.645,26/4
2023-9-18,Γερμασόγεια,ΝΟΤΙΟΣ ΑΓΩΓΟΣ,13.5,0.238,5.724,8.915,66.04,6.404,47.4,7.298,19/2
2023-9-18,Αρμίνου_,ΝΟΤΙΟΣ ΑΓΩΓΟΣ,4.3,0.287,7.463,2.608,60.65,1.983,46.1,4.114,10/5
2023-9-18,Πολεμίδια,ΝΟΤΙΟΣ ΑΓΩΓΟΣ,3.4,0.032,0.947,1.331,39.15,1.895,55.7,2.039,26/3
2023-9-18,Άχνα,ΝΟΤΙΟΣ ΑΓΩΓΟΣ,6.8,0.0,0.0,2.223,32.69,4.252,62.5,4.591,18/2
2023-9-18,Ασπρόκρεμμος,ΠΑΦΟΣ,52.375,0.428,7.286,33.142,63.28,44.101,84.2,45.235,22/2
2023-9-18,Κανναβιού,ΠΑΦΟΣ,17.168,0.164,2.721,9.941,57.9,11.167,65.0,11.566,8/2
2023-9-18,Μαυροκόλυμπος,ΠΑΦΟΣ,2.18,0.004,0.276,0.498,22.84,1.183,54.3,1.323,13/4
2023-9-18,Ευρέτου,ΧΡΥΣΟΧΟΥ,24.0,0.095,2.257,13.252,55.22,17.697,73.7,18.427,19/2
2023-9-18,Αργάκα,ΧΡΥΣΟΧΟΥ,0.99,0.025,0.784,0.3409999999999999,34.44,0.428,43.2,0.99,6/4-23/4
2023-9-18,Πωμός,ΧΡΥΣΟΧΟΥ,0.86,0.034,0.556,0.394,45.81,0.522,60.7,0.86,17/2-1/5
2023-9-18,Αγία_Μαρίνα,ΧΡΥΣΟΧΟΥ,0.298,0.003,0.069,0.053,17.79,0.118,39.6,0.248,9/6
2023-9-18,Βυζακιά,ΛΕΥΚΩΣΙΑ,1.69,0.027,0.379,0.926,54.79,0.951,56.3,1.146,5/3
2023-9-18,Ξυλιάτος,ΛΕΥΚΩΣΙΑ,1.43,0.035,1.041,0.876,61.26,0.821,57.4,1.269,16/4
2023-9-18,Καλοπαναγιώτης,ΛΕΥΚΩΣΙΑ,0.363,0.0,0.106,0.137,37.74,0.363,100.0,0.363,1/1-25/6
2023-9-18,Ταμασός,ΕΜΠΛΟΥΤΙΣΤΙΚΑ ΚΑΙ ΑΛΛΑ,2.8,0.0,1.695,1.862,66.5,1.539,55.0,2.453,2/4
2023-9-18,Κλήρου-Μαλούντα,ΕΜΠΛΟΥΤΙΣΤΙΚΑ ΚΑΙ ΑΛΛΑ,2.0,0.0,0.827,1.471,73.55,1.846,92.3,2.0,27/1-23/4
2023-9-18,Σολέα,ΕΜΠΛΟΥΤΙΣΤΙΚΑ ΚΑΙ ΑΛΛΑ,4.454,0.039,0.869,3.477934485200048,78.09,4.046,90.8,4.454,5/2-2/4
