Date,Reservoir,System,Capacity_(MCM),Inflow_Last_24H(MCM),Inflow_Since_01/10_(MCM),CurrentStorage(MCM),CurrentStorage(%),Storage_y-1(MCM),Storage_y-1(%),MaxStorage_y-1(MCM),MaxStorage_y-1(date)
2026-03-30,Κούρης,ΝΟΤΙΟΣ ΑΓΩΓΟΣ,115.0,0.257,10.813,33.48,29.11,91.138,79.3,94.238,15/2
2026-03-30,Καλαβασός,ΝΟΤΙΟΣ ΑΓΩΓΟΣ,17.1,0.126,4.07,1.885,11.02,8.877,51.9,9.276,26/3
2026-03-30,Λεύκαρα,ΝΟΤΙΟΣ ΑΓΩΓΟΣ,13.85,0.083,3.427,1.895,13.68,12.879,93.0,13.026,2/2
2026-03-30,Διπόταμος,ΝΟΤΙΟΣ ΑΓΩΓΟΣ,15.5,0.165,5.012,4.391,28.33,10.358,66.8,10.645,26/4
2026-03-30,Γερμασόγεια,ΝΟΤΙΟΣ ΑΓΩΓΟΣ,13.5,0.238,5.724,4.455,33.0,6.404,47.4,7.298,19/2
2026-03-30,Αρμίνου_,ΝΟΤΙΟΣ ΑΓΩΓΟΣ,4.3,0.287,7.463,1.441,33.51,1.983,46.1,4.114,10/5
2026-03-30,Πολεμίδια,ΝΟΤΙΟΣ ΑΓΩΓΟΣ,3.4,0.032,0.947,1.677,49.32,1.895,55.7,2.039,26/3
2026-03-30,Άχνα,ΝΟΤΙΟΣ ΑΓΩΓΟΣ,6.8,0.0,0.0,0.143,2.1,4.252,62.5,4.591,18/2
2026-03-30,Ασπρόκρεμμος,ΠΑΦΟΣ,52.375,0.428,7.286,17.726,33.84,44.101,84.2,45.235,22/2
2026-03-30,Κανναβιού,ΠΑΦΟΣ,17.168,0.164,2.721,7.516,43.78,11.167,65.0,11.566,8/2
2026-03-30,Μαυροκόλυμπος,ΠΑΦΟΣ,2.18,0.004,0.276,1.693,77.66,1.183,54.3,1.323,13/4
2026-03-30,Ευρέτου,ΧΡΥΣΟΧΟΥ,24.0,0.095,2.257,9.482,39.51,17.697,73.7,18.427,19/2
2026-03-30,Αργάκα,ΧΡΥΣΟΧΟΥ,0.99,0.025,0.784,0.99,100.0,0.428,43.2,0.99,6/4-23/4
2026-03-30,Πωμός,ΧΡΥΣΟΧΟΥ,0.86,0.034,0.556,0.86,100.0,0.522,60.7,0.86,17/2-1/5
2026-03-30,Αγία_Μαρίνα,ΧΡΥΣΟΧΟΥ,0.298,0.003,0.069,0.298,100.0,0.118,39.6,0.248,9/6
2026-03-30,Βυζακιά,ΛΕΥΚΩΣΙΑ,1.69,0.027,0.379,1.014,60.0,0.951,56.3,1.146,5/3
2026-03-30,Ξυλιάτος,ΛΕΥΚΩΣΙΑ,1.43,0.035,1.041,1.43,100.0,0.821,57.4,1.269,16/4
2026-03-30,Καλοπαναγιώτης,ΛΕΥΚΩΣΙΑ,0.363,0.0,0.106,0.363,100.0,0.363,100.0,0.363,1/1-25/6
2026-03-30,Ταμασός,ΕΜΠΛΟΥΤΙΣΤΙΚΑ ΚΑΙ ΑΛΛΑ,2.8,0.0,1.695,2.755,98.39,1.539,55.0,2.453,2/4
2026-03-30,Κλήρου-Μαλούντα,ΕΜΠΛΟΥΤΙΣΤΙΚΑ ΚΑΙ ΑΛΛΑ,2.0,0.0,0.827,2.0,100.0,1.846,92.3,2.0,27/1-23/4
2026-03-30,Σολέα,ΕΜΠΛΟΥΤΙΣΤΙΚΑ ΚΑΙ ΑΛΛΑ,4.454,0.039,0.869,4.454131977500022,100.0,4.046,90.8,4.454,5/2-2/4
